split_id,filter_id,alpha,rho,output_weight_contrast,strongest_positive
0,0,0.007939117029309273,3.773641347885132,1.953707218170166,False
0,1,0.014468506909906864,0.7237119078636169,2.529961585998535,True
0,2,0.009075649082660675,0.539448618888855,-2.873878002166748,False
1,0,0.009050683118402958,1.5301711559295654,-5.718836307525635,False
1,1,0.011961599811911583,1.3002073764801025,-5.585873603820801,False
1,2,0.003180603962391615,0.8889774680137634,5.525590896606445,True
2,0,0.010340598411858082,0.801144003868103,-4.876040935516357,False
2,1,0.01583676040172577,2.603503704071045,9.177484512329102,True
2,2,0.0116063067689538,1.4078092575073242,-5.643749237060547,False
2,3,0.006284269038587809,1.5769084692001343,-3.112593173980713,False
2,4,0.02048810012638569,0.7441217303276062,6.279587745666504,False
3,0,0.08247989416122437,1.4089645147323608,-8.402495384216309,False
3,1,0.023754907771945,1.0641839504241943,6.832465648651123,False
3,2,0.04628296568989754,2.483691453933716,6.906235694885254,True
4,0,0.007527971640229225,1.4757903814315796,-5.072779178619385,False
4,1,0.009757219813764095,0.6908539533615112,-2.6314613819122314,False
4,2,0.005650432780385017,0.7854127287864685,-3.508873701095581,False
4,3,0.007797215133905411,4.590177536010742,3.7590460777282715,True
5,0,0.026460519060492516,1.40806245803833,6.590163707733154,False
5,1,0.012437699362635612,2.7822060585021973,8.21330451965332,True
5,2,0.02676970325410366,1.54863440990448,-7.909486293792725,False
5,3,0.06177070364356041,1.1040055751800537,-5.367661476135254,False
6,0,0.013602051883935928,2.3858089447021484,3.29182767868042,False
6,1,0.012157691642642021,0.9746574759483337,0.004538321401923895,False
6,2,0.010520847514271736,1.7866371870040894,1.529541254043579,False
6,3,0.008697382174432278,3.879899024963379,5.194800853729248,True
6,4,0.0034506837837398052,4.535242557525635,-3.920285701751709,False
7,0,0.009886151179671288,1.3342913389205933,-5.145331859588623,False
7,1,0.021752098575234413,0.851041853427887,-4.793709754943848,False
7,2,0.010078905150294304,2.408151388168335,5.610069274902344,True
7,3,0.014069315046072006,0.7056006193161011,5.513249397277832,False
8,0,0.00626564072445035,3.097536325454712,4.173691749572754,True
8,1,0.008954771794378757,1.3886898756027222,4.059319972991943,False
8,2,0.0070962500758469105,2.326225996017456,-4.8353962898254395,False
8,3,0.008987704291939735,1.3898659944534302,-4.291872978210449,False
9,0,0.007742564659565687,0.6050864458084106,-2.445307731628418,False
9,1,0.007341540418565273,2.209847927093506,-6.483929634094238,False
9,2,0.03189081698656082,2.2863197326660156,8.573888778686523,True
9,3,0.012343277223408222,0.3741053640842438,-0.025484902784228325,False
9,4,0.014103286899626255,2.105123519897461,-8.896081924438477,False
10,0,0.010743404738605022,0.7749225497245789,-2.907102108001709,False
10,1,0.010224205441772938,3.9219918251037598,3.729396343231201,True
10,2,0.009054284542798996,1.5085563659667969,-3.7652788162231445,False
10,3,0.006971050053834915,1.0183048248291016,3.2209043502807617,False
11,0,0.013042138889431953,0.8398568034172058,-4.978602409362793,False
11,1,0.012189608067274094,2.3368210792541504,7.3796281814575195,True
11,2,0.019308926537632942,2.656477689743042,-6.650732040405273,False
11,3,0.027038952335715294,1.7438191175460815,-5.999883651733398,False
12,0,0.01359495148062706,1.5347039699554443,-3.2373275756835938,False
12,1,0.007536537013947964,2.9746315479278564,-4.839461803436279,False
12,2,0.013018768280744553,1.6345751285552979,4.5358428955078125,False
12,3,0.0064123282209038734,2.206346035003662,8.013978958129883,True
12,4,0.008557704277336597,1.235114574432373,-4.317516326904297,False
13,0,0.010162393562495708,1.994985580444336,-3.856276750564575,False
13,1,0.016619162634015083,1.5960253477096558,-4.385654449462891,False
13,2,0.007576713804155588,1.6946969032287598,-4.247886657714844,False
13,3,0.01087507326155901,3.9217398166656494,5.031573295593262,True
13,4,0.020235255360603333,1.0166049003601074,-4.642146110534668,False
14,0,0.011084499768912792,0.9026668667793274,-0.024591684341430664,False
14,1,0.0112958624958992,3.3869571685791016,0.30680233240127563,True
14,2,0.008618713356554508,0.9332606792449951,-0.47411954402923584,False
15,0,0.008082601241767406,1.7833454608917236,-3.796896457672119,False
15,1,0.008439475670456886,1.995060920715332,3.8161191940307617,False
15,2,0.005420622881501913,0.9474412798881531,5.042698860168457,True
15,3,0.009137536399066448,1.2186686992645264,-3.598723888397217,False
16,0,0.003530289279296994,2.513697624206543,1.9613502025604248,False
