split_id,donor_id,y_true,filter_id,alpha,rho,halfmax_threshold,frequency,n_selected_cells,training_donors,pooled_response,n_cells
0,a_002,1,1,0.014468506909906864,0.7237119078636169,0.267713725566864,0.0071,142,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b,0.2724458873271942,20000
0,a_004,0,1,0.014468506909906864,0.7237119078636169,0.267713725566864,0.0007,14,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b,0.07375352829694748,20000
0,a_006,0,1,0.014468506909906864,0.7237119078636169,0.267713725566864,0.0027,54,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b,0.18414300680160522,20000
0,a_1a,0,1,0.014468506909906864,0.7237119078636169,0.267713725566864,0.0002,4,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b,0.02870512381196022,20000
0,a_2a,0,1,0.014468506909906864,0.7237119078636169,0.267713725566864,0.00115,23,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b,0.1193869560956955,20000
0,a_4a,1,1,0.014468506909906864,0.7237119078636169,0.267713725566864,0.0003,6,a_001;a_003;a_005;a_007;a_009;a_010;a_011;a_012;a_3a;a_5b,0.02939625270664692,20000
1,a_002,1,2,0.003180603962391615,0.8889774680137634,0.34980690479278564,0.0014,28,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b,0.30837053060531616,20000
1,a_003,0,2,0.003180603962391615,0.8889774680137634,0.34980690479278564,0.0017,34,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b,0.33542799949645996,20000
1,a_004,0,2,0.003180603962391615,0.8889774680137634,0.34980690479278564,0.00075,15,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b,0.28706011176109314,20000
1,a_006,0,2,0.003180603962391615,0.8889774680137634,0.34980690479278564,0.00105,21,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b,0.2944827675819397,20000
1,a_3b,0,2,0.003180603962391615,0.8889774680137634,0.34980690479278564,0.0045,90,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b,0.4079502522945404,20000
1,a_5a,1,2,0.003180603962391615,0.8889774680137634,0.34980690479278564,0.0064,128,a_001;a_005;a_009;a_010;a_011;a_012;a_2b;a_3a;a_4a;a_5b,0.44847336411476135,20000
2,a_002,1,1,0.01583676040172577,2.603503704071045,1.0768183469772339,0.00255,51,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b,0.8059388995170593,20000
2,a_004,0,1,0.01583676040172577,2.603503704071045,1.0768183469772339,0.0,0,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b,0.09292338788509369,20000
2,a_007,1,1,0.01583676040172577,2.603503704071045,1.0768183469772339,0.00045,9,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b,0.3589077293872833,20000
2,a_010,0,1,0.01583676040172577,2.603503704071045,1.0768183469772339,0.00025,5,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b,0.2216987907886505,20000
2,a_1a,0,1,0.01583676040172577,2.603503704071045,1.0768183469772339,0.00245,49,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b,0.6102916598320007,20000
2,a_3b,0,1,0.01583676040172577,2.603503704071045,1.0768183469772339,0.00085,17,a_001;a_006;a_009;a_011;a_012;a_2a;a_2b;a_4a;a_4b;a_5b,0.34505289793014526,20000
3,a_006,0,2,0.04628296568989754,2.483691453933716,1.0590752363204956,0.00865,173,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a,0.7119843363761902,20000
3,a_009,0,2,0.04628296568989754,2.483691453933716,1.0590752363204956,0.01485,297,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a,0.9621824622154236,20000
3,a_011,0,2,0.04628296568989754,2.483691453933716,1.0590752363204956,0.00915,183,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a,0.7794636487960815,20000
3,a_2a,0,2,0.04628296568989754,2.483691453933716,1.0590752363204956,0.00105,21,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a,0.21364960074424744,20000
3,a_5a,1,2,0.04628296568989754,2.483691453933716,1.0590752363204956,0.01495,299,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a,0.8976914286613464,20000
3,a_5b,1,2,0.04628296568989754,2.483691453933716,1.0590752363204956,0.01225,245,a_001;a_002;a_003;a_005;a_010;a_012;a_1a;a_2b;a_3a;a_4a,0.8602269887924194,20000
4,a_001,1,3,0.007797215133905411,4.590177536010742,1.8429834842681885,0.00065,13,a_002;a_006;a_007;a_009;a_1a;a_2b;a_3a;a_4a;a_5a,1.1147313117980957,20000
