split_id,network_auc_baseline,frequency_auc_baseline,frequency_effect_baseline,phenotype_status_baseline,network_auc_learnable,frequency_auc_learnable,frequency_effect_learnable,phenotype_status_learnable,network_auc_hard,frequency_auc_hard,frequency_effect_hard,phenotype_status_hard,network_auc_delta,network_auc_delta_vs_baseline
0,1.0,1.0,0.007349999706093513,berechnet,1.0,1.0,0.007537499812315218,berechnet,1.0,1.0,0.0075874997273785,berechnet,0.0,0.0
1,1.0,1.0,0.03382499888539314,berechnet,1.0,1.0,0.007462500010660733,berechnet,1.0,1.0,0.0072374996943835,berechnet,0.0,0.0
2,1.0,1.0,0.02643749872368062,berechnet,1.0,0.6875,0.00459999980921566,berechnet,1.0,0.6875,0.0046749996818107,berechnet,0.0,0.0
3,1.0,1.0,0.00964999968164193,berechnet,1.0,1.0,0.012224999638419831,berechnet,1.0,1.0,0.0126874993002275,berechnet,0.0,0.0
4,0.875,0.875,0.001887500038719736,berechnet,1.0,0.875,0.0008624999572930392,berechnet,1.0,0.875,0.0007999999907042,berechnet,0.0,0.125
5,1.0,1.0,0.0126375000236294,berechnet,1.0,1.0,0.013812499336381734,berechnet,1.0,1.0,0.0129374998914499,berechnet,0.0,0.0
6,0.625,0.5,0.0030000001497683115,berechnet,0.875,0.5,0.004012499734017183,berechnet,0.875,0.5,0.0039124999038904,berechnet,0.0,0.25
7,0.75,0.75,0.0004624999937732355,berechnet,0.75,0.25,-4.999999873689376e-05,berechnet,0.625,0.625,1.249999968422344e-05,berechnet,0.125,0.0
8,0.5,0.9375,0.008874999533873051,berechnet,0.875,0.75,0.004374999812171154,berechnet,0.875,0.75,0.0044875001049149,berechnet,0.0,0.375
9,1.0,1.0,0.003224999913072679,berechnet,1.0,0.75,0.001187500002743036,berechnet,1.0,0.9375,0.0010374999219493,berechnet,0.0,0.0
10,0.875,0.75,0.0006624998932238668,berechnet,1.0,0.875,0.006399999839231896,berechnet,,,,,,0.125
11,0.875,0.875,0.002687499940293492,berechnet,1.0,1.0,0.0004000000026280759,berechnet,,,,,,0.125
12,0.75,0.75,0.0033875001354317646,berechnet,0.75,0.5625,0.0015499999190069502,berechnet,,,,,,0.0
13,1.0,1.0,0.012224999692989513,berechnet,0.875,1.0,0.008249999867985025,berechnet,,,,,,-0.125
14,1.0,1.0,0.008949999706601375,berechnet,1.0,1.0,0.006699999943521107,berechnet,,,,,,0.0
15,0.625,0.5,-0.0010124999789695721,berechnet,1.0,1.0,0.003574999875127105,berechnet,,,,,,0.375
16,0.625,0.875,0.011449999670730904,berechnet,1.0,0.625,0.006724999824655242,berechnet,,,,,,0.375
17,0.625,1.0,0.003837499942164868,berechnet,0.75,0.6875,0.0005874999706065864,berechnet,,,,,,0.125
18,1.0,1.0,0.015612499380949885,berechnet,1.0,1.0,0.013962499797344208,berechnet,,,,,,0.0
19,0.5,0.625,0.0007374999113380909,berechnet,0.75,1.0,0.0063624998001614586,berechnet,,,,,,0.25
